"Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","h1c","h2c","h4c","a1c","a2c","a3c","h1h2c","h2h4c","h1a1c","h1a2c","h1a3c","h42Kc","h2Kh5Kc","cpp","energy","hnr05","hnr15","hnr25","hnr35","shr","soe","f0","f1","f2","h1cz","h2cz","h4cz","a1cz","a2cz","a3cz","h1h2cz","h2h4cz","h42Kcz","h2Kh5Kcz","h1a1cz","h1a2cz","h1a3cz","energyz","hnr05z","hnr15z","hnr25z","hnr35z","cppz","shrz","durationz","norm.soe"
"f3","bahl",1,"a","breathy","F",146,6.016,1.74325,-9.354,-27.84525,-25.138,-24.3875,4.2725,11.0975,33.86125,31.15375,30.40325,13.8585,6.91025,22.042,-0.719535453373082,30.26725,30.619,33.94525,36.59225,0.046,0.08175,191.046,956.93525,1837.324,1.73878657368029,1.03240967394386,-0.451882356598765,-1.8026235778383,-1.32642563535004,-1.48958298738905,0.0521878269985596,1.65187596169064,1.20577200706038,-1.48448341733775,2.54868776280501,1.98141871572933,2.07829144187404,0.964586129376958,-0.329619798110232,-1.21651517583294,-1.15970852407701,-0.976540421149613,0.743138624622385,-0.496045488380833,0.516672517814905,0.790733292041921
"f3","bahl",2,"a","breathy","F",148,4.4405,0.94325,-16.697,-30.34775,-30.41525,-24.7025,3.4975,17.64,34.7885,34.856,29.14275,10.3925,7.0105,21.713,-0.837137006678074,45.78175,43.972,44.15175,44.10725,0,0.08025,200.68075,968.37625,1793.61975,1.3022455307221,0.89420224746121,-1.64535080922196,-2.12326583241748,-2.04749691768226,-1.53719560020855,-0.0830328732706913,2.88608293617958,0.69552376555384,-1.4734194147581,2.6648518711192,2.4403956270966,1.9158812209367,0.560140575520816,1.29943242292621,0.0873424872205161,-0.182055043244216,-0.191071180864544,0.661805558177746,-0.716039701769433,0.564910037679422,0.780547304513321
"f3","bahl",3,"a","breathy","F",135,2.8105,-0.235,-17.7975,-32.15175,-35.8445,-27.80925,3.0455,17.5625,34.9625,38.655,30.61975,10.825,7.3055,21.147,-1.03621217265444,43.90375,43.922,44.827,45.284,0,0.065,203.37125,1023.152,1739.17125,0.85060357577329,0.690648622144727,-1.82421667223596,-2.35441013901521,-2.78933712983862,-2.00678444108778,-0.161897075234177,2.87146298348216,0.759194384264624,-1.44086200068335,2.68665025865942,2.91136687060643,2.1061865730386,-0.124502301206383,1.10223882525265,0.0824602223247872,-0.117374642231886,-0.0680770453348757,0.521883018336817,-0.716039701769433,0.251366158560056,0.664798066828099
"f3","bgah",1,"a","breathy","L",173,-0.227,-3.42225,2.5955,-13.96275,-7.9695,-7.0495,3.19525,-6.01775,13.73575,7.7425,6.8225,8.5365,30.795,18.814,-0.981923936354205,32.7135,34.91275,37.0255,39.95775,0,0.0675,203.843,315.13125,1596.19575,0.00897017813094848,0.140021597073682,1.4902872300308,-0.0238758858521405,1.01943865205736,1.13107568265658,-0.135768946375699,-1.57682268869098,0.422292162485135,1.15153589053369,0.0274035763641798,-0.920930724812788,-0.959990840845671,0.0622013194624744,-0.0727588618434887,-0.797250677912187,-0.864659571513917,-0.624777716135721,-0.054864835813158,-0.716039701769433,1.1678790359859,0.685500022050817
"f3","bgah",2,"a","breathy","L",165,-0.0795,-2.71525,-3.82775,-13.4515,-12.47825,4.02375,2.6355,1.1125,13.37175,12.398,-4.10375,-13.347,45.63625,19.29225,-1.02571864112217,30.17875,33.48325,37.43475,40.26975,0,0.084,201.277,285.483,1029.6155,0.0498396188395066,0.262162410227727,0.44630708045815,0.0416299493740743,0.403373439263688,2.80481017441357,-0.233433187634684,-0.231739879390295,-2.79929392897715,2.78947731981167,-0.0181976481452467,-0.343777099079696,-2.3677930435562,-0.0884138138250025,-0.338912467649162,-0.936834631281086,-0.825458602814479,-0.592167416339454,0.063364766093069,-0.716039701769433,0.974928956527824,0.805671195671243
"f3","bgah",3,"a","breathy","L",131,0.18575,1.74225,3.25925,-9.93725,-9.411,3.377,-1.55625,-1.517,10.12325,9.59675,-3.191,-2.23375,41.3355,17.297,-0.97571962395292,28.40725,31.52275,34.9035,38.37125,0,0.08775,199.07225,260.189,1095.564,0.123335341876422,1.03223691466076,1.59816748134887,0.491906490095297,0.822475412968457,2.7070531669818,-0.964802697768404,-0.727780726072552,-1.16325345871676,2.31482885004212,-0.425163521274015,-0.691054855300257,-2.25018897440859,0.0835386784931532,-0.524923361301298,-1.12826823784263,-1.06792030597991,-0.790599000195902,-0.429886908142997,-0.716039701769433,0.154891118831021,0.829710257800195
"f3","cha7",3,"a","checked","L",203,-5.763,-4.5595,-2.0055,-6.09175,-12.41175,-3.4435,-1.20325,-2.554,0.329,6.649,-2.31925,0.91875,29.297,14.99975,-1.32330639037513,23.386,32.5555,34.84775,37.358,0,0.0635,204.5155,218.86775,1610.01325,-1.52494998297127,-0.0564488976355647,0.74248001901087,0.984625686892184,0.412459846061753,1.67612673607592,-0.903211849774797,-0.923405125391624,-0.699157214819082,0.986210445503228,-1.65216844751426,-1.05649457181937,-2.13786758598961,-1.1118530345237,-1.0521642304804,-1.02742505642134,-1.07326045015827,-0.896504084390026,-0.997796898689945,-0.716039701769433,1.89144183395366,0.651997078760052
"f3","dam",1,"a","modal","H",141,4.08525,-1.16475,8.37875,-12.858,-4.109,-2.20125,5.25,-9.5435,16.94325,8.19425,6.2865,7.5955,34.889,25.58925,-0.664040893851752,39.9255,40.93225,43.139,44.992,0,0.0855,195.6135,324.475,1622.7795,1.20381252182912,0.530025678679419,2.43024725027226,0.11767437618436,1.54692847828191,1.8638942544093,0.222740387660744,-2.24193621414828,0.283762562006875,1.60336657942203,0.429233047831172,-0.864926181707874,-1.02905222793208,1.15543843728312,0.684514954142514,-0.209474807115343,-0.279063671345271,-0.0985969412980475,1.62006482506538,-0.716039701769433,0.39607871815361,0.815411708611508
"f3","dam",2,"a","modal","H",142,2.1375,-9.7005,-2.88625,-18.228,-19.5595,-14.69125,11.83775,-6.814,20.3655,21.697,16.829,7.7235,25.654,21.615,-1.04696554274964,45.055,46.7315,48.23975,48.49425,0,0.09475,218.25725,349.665,1748.85825,0.664128093760682,-0.944604372069715,0.599330442591439,-0.57037713514038,-0.564192247034104,-0.0239836316715578,1.37215995953011,-1.72703091237258,0.302606120839199,0.584153972708845,0.857965988977833,0.809042483283533,0.329305371617239,-0.161484403923116,1.22312228069551,0.356794686815813,0.209523600722322,0.267458899924625,0.637578687321897,-0.716039701769433,0.420197478085869,0.871982355809719
"f3","dam",3,"a","modal","H",121,-0.424,-2.392,-4.3865,-17.566,-14.0285,-6.6095,1.96775,1.9945,17.142,13.6045,6.185,2.4155,30.54725,21.501,-1.04939177521577,40.74025,44.358,46.89175,47.91425,0.18975,0.0825,211.2955,353.29425,1551.71,-0.0456147697984478,0.318006848490874,0.355492631608469,-0.48555588737558,0.191550850711786,1.19758218945206,-0.3499410877699,-0.06535538546607,-0.478812709488757,1.12419318091667,0.454132068081855,-0.19420436802031,-1.04213008388221,-0.169828502329719,0.7700652649543,0.125033572215546,0.0804022670464679,0.206837188764898,0.609396408979376,0.191436428458543,-0.0862964804915687,0.795757252053028
"f3","kandadw",1,"a","modal","M",41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.02113501565234,0,0,0,0,0,0.1,226.67575,693.62525,1806.54975,0.0718675546790345,0.731247053674007,1.06843684615724,1.76515414017198,2.10837277201502,2.19661572732647,-0.693270807711601,-0.441606942304922,-0.834411274797193,-2.24712704652451,-1.69338493889778,-1.88078722728051,-1.8390417986759,-0.0726501874976761,-3.50773903090312,-4.20631655267961,-4.41123371099118,-4.80116940422631,-4.70592961420049,-0.716039701769433,-2.01579727507228,0.90170526312227
